orth,base,ctag
administrcację,administrcację,ign
administrowane,administrować,ppas:sg:nom:n:imperf:aff
administrowanej,administrować,ppas:sg:gen:f:imperf:aff
administrowania,administrować,ger:sg:gen:n:imperf:aff
administrowanie,administrować,ger:sg:nom:n:imperf:aff
administrowaniem,administrować,ger:sg:inst:n:imperf:aff
administrowaniu,administrować,ger:sg:dat:n:imperf:aff
administrowany,administrować,ppas:sg:nom:m1:imperf:aff
administrowanych,administrować,ppas:pl:gen:m1:imperf:aff
administrowanym,administrować,ppas:sg:inst:m1:imperf:aff
administruje,administrować,fin:sg:ter:imperf
administrującego,administrować,pact:sg:gen:m1:imperf:aff
administrującemu,administrować,pact:sg:dat:m1:imperf:aff
administrujący,administrować,pact:sg:nom:m1:imperf:aff
administrujących,administrować,pact:pl:gen:m1:imperf:aff
administrującym,administrować,pact:sg:inst:m1:imperf:aff
admirał,admirał,subst:sg:nom:m1
admirała,admirał,subst:sg:gen:m1
admirałów,admirał,subst:pl:gen:m1
adn,ADN,subst:sg:nom:m3
adnotacje,adnotacja,subst:pl:nom:f
adnotacji,adnotacja,subst:sg:gen:f
adnotacją,adnotacja,subst:sg:inst:f
adnotację,adnotacja,subst:sg:acc:f
adopcji,adopcja,subst:sg:gen:f
adopcyjnej,adopcyjny,adj:sg:gen:f:pos
adopcyjno,adopcyjno,ign
adopcyjnoopiekuńcze,adopcyjnoopiekuńczy,adj:sg:nom:n:pos
adopcyjnoopiekuńczego,adopcyjnoopiekuńczy,adj:sg:gen:m1:pos
adopcyjnoopiekuńczych,adopcyjnoopiekuńczy,adj:pl:gen:m1:pos
adopcyjnoopiekuńczymi,adopcyjnoopiekuńczy,adj:pl:inst:m1:pos
adopcyjnych,adopcyjny,adj:pl:gen:m1:pos
adopcyjnymi,adopcyjny,adj:pl:inst:m1:pos
adopcyjną,adopcyjny,adj:sg:acc:f:pos
adr,adra,subst:pl:gen:f
adres,adres,subst:sg:nom:m3
adresach,adres,subst:pl:loc:m3
adresami,adres,subst:pl:inst:m3
adresat,adresat,subst:sg:nom:m1
adresata,adresat,subst:sg:gen:m1
adresatem,adresat,subst:sg:inst:m1
adresatom,adresat,subst:pl:dat:m1
adresatowi,adresat,subst:sg:dat:m1
adresatów,adresat,subst:pl:gen:m1
adresem,adres,subst:sg:inst:m3
adresie,adres,subst:sg:loc:m3
adresowane,adresować,ppas:sg:nom:n:imperf:aff
adresowany,adresować,ppas:sg:nom:m1:imperf:aff
adresowanym,adresować,ppas:sg:inst:m1:imperf:aff
adresowe,adresowy,adj:sg:nom:n:pos
adresowej,adresowy,adj:sg:gen:f:pos
adresowych,adresowy,adj:pl:gen:m1:pos
adresowymi,adresowy,adj:pl:inst:m1:pos
adresową,adresowy,adj:sg:acc:f:pos
adresu,adres,subst:sg:gen:m3
adresy,adres,subst:pl:nom:m3
adresów,adres,subst:pl:gen:m3
adventisten,adventisten,ign
advogado,advogado,ign
adwentystyczne,adwentystyczny,adj:sg:nom:n:pos
adwentystycznego,adwentystyczny,adj:sg:gen:m1:pos
adwentystycznej,adwentystyczny,adj:sg:gen:f:pos
adwentystyczny,adwentystyczny,adj:sg:nom:m1:pos
adwentystycznych,adwentystyczny,adj:pl:gen:m1:pos
adwentystycznym,adwentystyczny,adj:sg:inst:m1:pos
adwentystycznymi,adwentystyczny,adj:pl:inst:m1:pos
adwentystów,adwentysta,subst:pl:gen:m1
adwokaccy,adwokacki,adj:pl:nom:m1:pos
adwokaci,adwokat,subst:pl:nom:m1
adwokacie,adwokat,subst:sg:loc:m1
adwokacka,adwokacki,adj:sg:nom:f:pos
adwokacki,adwokacki,adj:sg:nom:m1:pos
adwokackich,adwokacki,adj:pl:gen:m1:pos
adwokackie,adwokacki,adj:sg:nom:n:pos
adwokackiego,adwokacki,adj:sg:gen:m1:pos
adwokackiej,adwokacki,adj:sg:gen:f:pos
adwokackiemu,adwokacki,adj:sg:dat:m1:pos
adwokackim,adwokacki,adj:sg:inst:m1:pos
adwokackimi,adwokacki,adj:pl:inst:m1:pos
adwokacką,adwokacki,adj:sg:acc:f:pos
adwokat,adwokat,subst:sg:nom:m1
adwokata,adwokat,subst:sg:gen:m1
adwokatami,adwokat,subst:pl:inst:m1
adwokatem,adwokat,subst:sg:inst:m1
adwokatom,adwokat,subst:pl:dat:m1
adwokatowi,adwokat,subst:sg:dat:m1
adwokatury,adwokatura,subst:sg:gen:f
adwokaturze,adwokatura,subst:sg:dat:f
adwokatów,adwokat,subst:pl:gen:m1
aegroti,aegroti,ign
aerodynamicznej,aerodynamiczny,adj:sg:gen:f:pos
aerologicznych,aerologiczny,adj:pl:gen:m1:pos
aerotermalnej,aerotermalny,adj:sg:gen:f:pos
aerotermalną,aerotermalny,adj:sg:acc:f:pos
aerozoli,aerozol,subst:pl:gen:m3
aethina,aethina,ign
aetr,aetr,ign
affairs,affairs,ign
afganistanie,Afganistan,subst:sg:loc:m3
afgańskiego,afgański,adj:sg:gen:m1:pos
afiliowały,afiliować,praet:pl:m2:imperf
afisz,afisz,subst:sg:nom:m3
afisze,afisz,subst:pl:nom:m3
afiszem,afisz,subst:sg:inst:m3
aflatoksynę,aflatoksyna,subst:sg:acc:f
afo,afo,ign
african,african,ign
afrykański,afrykański,adj:sg:nom:m1:pos
agalactia,agalactia,ign
agape,agape,subst:sg:nom:f
agar,agar,subst:sg:nom:m3
agaricus,agaricus,ign
agave,agave,ign
agenci,agent,subst:pl:nom:m1
agencja,agencja,subst:sg:nom:f
agencjach,agencja,subst:pl:loc:f
agencjami,agencja,subst:pl:inst:f
agencje,agencja,subst:pl:nom:f
agencji,agencja,subst:sg:gen:f
agencjom,agencja,subst:pl:dat:f
agencją,agencja,subst:sg:inst:f
agencję,agencja,subst:sg:acc:f
agencyjna,agencyjny,adj:sg:nom:f:pos
agencyjne,agencyjny,adj:sg:nom:n:pos
agencyjnej,agencyjny,adj:sg:gen:f:pos
agencyjnych,agencyjny,adj:pl:gen:m1:pos
agencyjnymi,agencyjny,adj:pl:inst:m1:pos
agencyjną,agencyjny,adj:sg:acc:f:pos
agent,agent,subst:sg:nom:m1
agenta,agent,subst:sg:gen:m1
agentem,agent,subst:sg:inst:m1
agentom,agent,subst:pl:dat:m1
agentowi,agent,subst:sg:dat:m1
agentów,agent,subst:pl:gen:m1
agitacja,agitacja,subst:sg:nom:f
agitacji,agitacja,subst:sg:gen:f
agitację,agitacja,subst:sg:acc:f
agitować,agitować,inf:imperf
aglomeracja,aglomeracja,subst:sg:nom:f
aglomeracjach,aglomeracja,subst:pl:loc:f
aglomeracjami,aglomeracja,subst:pl:inst:f
aglomeracje,aglomeracja,subst:pl:nom:f
aglomeracji,aglomeracja,subst:sg:gen:f
aglomeracją,aglomeracja,subst:sg:inst:f
aglomerowany,aglomerować,ppas:sg:nom:m1:imperf:aff
aglomerowni,aglomerownia,subst:sg:gen:f
agonistycznym,agonistyczny,adj:sg:inst:m1:pos
agrarnej,agrarny,adj:sg:gen:f:pos
agrarwirtschaft,agrarwirtschaft,ign
agregację,agregacja,subst:sg:acc:f
agregatach,agregat,subst:pl:loc:m1
agregatów,agregat,subst:pl:gen:m1
agregowane,agregować,ppas:sg:nom:n:imperf:aff
agregujących,agregować,pact:pl:gen:m1:imperf:aff
agresji,agresja,subst:sg:gen:f
agrestowych,agrestowy,adj:pl:gen:m1:pos
agresywna,agresywny,adj:sg:nom:f:pos
agresywnie,agresywnie,adv:pos
agresywności,agresywność,subst:sg:gen:f
agresywnością,agresywność,subst:sg:inst:f
agresywną,agresywny,adj:sg:acc:f:pos
agricoltura,agricoltura,ign
agricultura,agricultura,ign
agriculture,agriculture,ign
agro,agro,ign
agrochemiczna,agrochemiczny,adj:sg:nom:f:pos
agrochemicznej,agrochemiczny,adj:sg:gen:f:pos
agrochemicznych,agrochemiczny,adj:pl:gen:m1:pos
agrochemiczną,agrochemiczny,adj:sg:acc:f:pos
agrolotniczy,agrolotniczy,adj:sg:nom:m1:pos
agrolotniczym,agrolotniczy,adj:sg:inst:m1:pos
agromelioracji,agromelioracja,subst:sg:gen:f
agrometeorologicznych,agrometeorologiczny,adj:pl:gen:m1:pos
agrotechniczne,agrotechniczny,adj:sg:nom:n:pos
agrotechnicznego,agrotechniczny,adj:sg:gen:m1:pos
agrotechnicznych,agrotechniczny,adj:pl:gen:m1:pos
agrotechnicznym,agrotechniczny,adj:sg:inst:m1:pos
agrotechniki,agrotechnika,subst:sg:gen:f
aids,aids,subst:sg:nom:m2
aje,aje,ign
ają,ają,ign
akademia,akademia,subst:sg:nom:f
akademiami,akademia,subst:pl:inst:f
akademiccy,akademicki,adj:pl:nom:m1:pos
akademicka,akademicki,adj:sg:nom:f:pos
akademicki,akademicki,adj:sg:nom:m1:pos
akademickich,akademicki,adj:pl:gen:m1:pos
akademickie,akademicki,adj:sg:nom:n:pos
akademickiego,akademicki,adj:sg:gen:m1:pos
akademickiej,akademicki,adj:sg:gen:f:pos
akademickiemu,akademicki,adj:sg:dat:m1:pos
akademickim,akademicki,adj:sg:inst:m1:pos
akademickimi,akademicki,adj:pl:inst:m1:pos
akademie,akademia,subst:pl:nom:f
akademii,akademia,subst:sg:gen:f
akademią,akademia,subst:sg:inst:f
akademię,akademia,subst:sg:acc:f
akapicie,akapit,subst:sg:loc:m3
akapit,akapit,subst:sg:nom:m3
akceleratorów,akcelerator,subst:pl:gen:m3
akceptacja,akceptacja,subst:sg:nom:f
akceptacji,akceptacja,subst:sg:gen:f
akceptację,akceptacja,subst:sg:acc:f
akceptanta,akceptant,subst:sg:gen:m1
akceptowalne,akceptowalny,adj:sg:nom:n:pos
akceptowalny,akceptowalny,adj:sg:nom:m1:pos
akceptowana,akceptować,ppas:sg:nom:f:imperf:aff
akceptowane,akceptować,ppas:sg:nom:n:imperf:aff
akceptowanie,akceptować,ger:sg:nom:n:imperf:aff
akceptowanych,akceptować,ppas:pl:gen:m1:imperf:aff
akceptuje,akceptować,fin:sg:ter:imperf
akcesji,akcesja,subst:sg:gen:f
akcesoria,akcesoria,subst:pl:nom:n
akcesoriów,akcesoria,subst:pl:gen:n
akcesyjnego,akcesyjny,adj:sg:gen:m1:pos
akcesyjny,akcesyjny,adj:sg:nom:m1:pos
akcie,akt,subst:sg:loc:m3
akcja,akcja,subst:sg:nom:f
akcjach,akcja,subst:pl:loc:f
akcjami,akcja,subst:pl:inst:f
akcje,akcja,subst:pl:nom:f
akcji,akcja,subst:sg:gen:f
akcjom,akcja,subst:pl:dat:f
akcjonariusz,akcjonariusz,subst:sg:nom:m1
akcjonariusza,akcjonariusz,subst:sg:gen:m1
akcjonariuszach,akcjonariusz,subst:pl:loc:m1
akcjonariuszami,akcjonariusz,subst:pl:inst:m1
akcjonariusze,akcjonariusz,subst:pl:nom:m1
akcjonariuszem,akcjonariusz,subst:sg:inst:m1
akcjonariuszom,akcjonariusz,subst:pl:dat:m1
akcjonariuszowi,akcjonariusz,subst:sg:dat:m1
akcjonariuszy,akcjonariusz,subst:pl:gen:m1
akcją,akcja,subst:sg:inst:f
akcję,akcja,subst:sg:acc:f
akcpetację,akcpetację,ign
akcyjna,akcyjny,adj:sg:nom:f:pos
akcyjne,akcyjny,adj:sg:nom:n:pos
akcyjnego,akcyjny,adj:sg:gen:m1:pos
akcyjnej,akcyjny,adj:sg:gen:f:pos
akcyjnemu,akcyjny,adj:sg:dat:m1:pos
akcyjny,akcyjny,adj:sg:nom:m1:pos
akcyjnych,akcyjny,adj:pl:gen:m1:pos
akcyjnym,akcyjny,adj:sg:inst:m1:pos
akcyjnymi,akcyjny,adj:pl:inst:m1:pos
akcyjną,akcyjny,adj:sg:acc:f:pos
akcyza,akcyza,subst:sg:nom:f
akcyzie,akcyza,subst:sg:dat:f
akcyzowe,akcyzowy,adj:sg:nom:n:pos
akcyzowego,akcyzowy,adj:sg:gen:m1:pos
akcyzowemu,akcyzowy,adj:sg:dat:m1:pos
akcyzowy,akcyzowy,adj:sg:nom:m1:pos
akcyzowych,akcyzowy,adj:pl:gen:m1:pos
akcyzowym,akcyzowy,adj:sg:inst:m1:pos
akcyzowymi,akcyzowy,adj:pl:inst:m1:pos
akcyzy,akcyza,subst:sg:gen:f
akcyzą,akcyza,subst:sg:inst:f
akcyzę,akcyza,subst:sg:acc:f
akordeony,akordeon,subst:pl:nom:m3
akordowej,akordowy,adj:sg:gen:f:pos
akredytacja,akredytacja,subst:sg:nom:f
akredytacji,akredytacja,subst:sg:gen:f
akredytacją,akredytacja,subst:sg:inst:f
akredytację,akredytacja,subst:sg:acc:f
akredytacyjna,akredytacyjny,adj:sg:nom:f:pos
akredytacyjne,akredytacyjny,adj:sg:nom:n:pos
akredytacyjnego,akredytacyjny,adj:sg:gen:m1:pos
akredytacyjnej,akredytacyjny,adj:sg:gen:f:pos
akredytacyjny,akredytacyjny,adj:sg:nom:m1:pos
akredytacyjnych,akredytacyjny,adj:pl:gen:m1:pos
akredytacyjną,akredytacyjny,adj:sg:acc:f:pos
akredytowana,akredytować,ppas:sg:nom:f:imperf:aff
akredytowane,akredytować,ppas:sg:nom:n:imperf:aff
akredytowanego,akredytować,ppas:sg:gen:m1:imperf:aff
akredytowanej,akredytować,ppas:sg:gen:f:imperf:aff
akredytowanemu,akredytować,ppas:sg:dat:m1:imperf:aff
akredytowania,akredytować,ger:sg:gen:n:imperf:aff
akredytowanie,akredytować,ger:sg:nom:n:imperf:aff
akredytowanych,akredytować,ppas:pl:gen:m1:imperf:aff
akredytowanym,akredytować,ppas:sg:inst:m1:imperf:aff
akredytowanymi,akredytować,ppas:pl:inst:m1:imperf:aff
akredytowaną,akredytować,ppas:sg:acc:f:imperf:aff
akredytująca,akredytować,pact:sg:nom:f:imperf:aff
akredytującej,akredytować,pact:sg:gen:f:imperf:aff
akredytującymi,akredytować,pact:pl:inst:m1:imperf:aff
akredytującą,akredytować,pact:sg:acc:f:imperf:aff
akredytyw,akredytywa,subst:pl:gen:f
akredytywy,akredytywa,subst:sg:gen:f
akrobacyjnych,akrobacyjny,adj:pl:gen:m1:pos
akrotiri,akrotiri,ign
akrylowe,akrylowy,adj:sg:nom:n:pos
akrylowy,akrylowy,adj:sg:nom:m1:pos
akrylowych,akrylowy,adj:pl:gen:m1:pos
akt,akt,subst:sg:nom:m3
akta,akt,subst:pl:nom:m3
aktach,akt,subst:pl:loc:m3
aktami,akt,subst:pl:inst:m3
aktem,akt,subst:sg:inst:m3
aktom,akt,subst:pl:dat:m3
aktorskiej,aktorski,adj:sg:gen:f:pos
aktorów,aktor,subst:pl:gen:m1
aktowi,akt,subst:sg:dat:m3
aktu,akt,subst:sg:gen:m3
aktualizacja,aktualizacja,subst:sg:nom:f
aktualizacjach,aktualizacja,subst:pl:loc:f
aktualizacji,aktualizacja,subst:sg:gen:f
aktualizacją,aktualizacja,subst:sg:inst:f
aktualizację,aktualizacja,subst:sg:acc:f
aktualizacyjne,aktualizacyjny,adj:sg:nom:n:pos
aktualizacyjnego,aktualizacyjny,adj:sg:gen:m1:pos
aktualizacyjnych,aktualizacyjny,adj:pl:gen:m1:pos
aktualizowane,aktualizować,ppas:sg:nom:n:imperf:aff
aktualizowanej,aktualizować,ppas:sg:gen:f:imperf:aff
aktualizowania,aktualizować,ger:sg:gen:n:imperf:aff
aktualizowanie,aktualizować,ger:sg:nom:n:imperf:aff
aktualizowaniem,aktualizować,ger:sg:inst:n:imperf:aff
aktualizowaniu,aktualizować,ger:sg:dat:n:imperf:aff
aktualizowany,aktualizować,ppas:sg:nom:m1:imperf:aff
aktualizowanym,aktualizować,ppas:sg:inst:m1:imperf:aff
aktualizowaną,aktualizować,ppas:sg:acc:f:imperf:aff
aktualizować,aktualizować,inf:imperf
aktualizuje,aktualizować,fin:sg:ter:imperf
aktualizują,aktualizować,fin:pl:ter:imperf
aktualizując,aktualizować,pcon:imperf
aktualizujące,aktualizować,pact:sg:nom:n:imperf:aff
aktualizującego,aktualizować,pact:sg:gen:m1:imperf:aff
aktualizujących,aktualizować,pact:pl:gen:m1:imperf:aff
aktualizującymi,aktualizować,pact:pl:inst:m1:imperf:aff
aktualne,aktualny,adj:sg:nom:n:pos
aktualnego,aktualny,adj:sg:gen:m1:pos
aktualnej,aktualny,adj:sg:gen:f:pos
aktualnemu,aktualny,adj:sg:dat:m1:pos
aktualnie,aktualnie,adv:pos
aktualności,aktualności,subst:pl:nom:n
aktualność,aktualność,subst:sg:nom:f
aktualny,aktualny,adj:sg:nom:m1:pos
aktualnych,aktualny,adj:pl:gen:m1:pos
aktualnym,aktualny,adj:sg:inst:m1:pos
aktualnymi,aktualny,adj:pl:inst:m1:pos
aktualną,aktualny,adj:sg:acc:f:pos
aktuarialnych,aktuarialny,adj:pl:gen:m1:pos
aktuariusz,aktuariusz,subst:sg:nom:m1
aktuariusza,aktuariusz,subst:sg:gen:m1
aktuariuszem,aktuariusz,subst:sg:inst:m1
aktuariuszy,aktuariusz,subst:pl:gen:m1
aktw,aktw,ign
akty,akt,subst:pl:nom:m3
aktywa,aktywa,subst:pl:nom:n
aktywach,aktyw,subst:pl:loc:m3
aktywami,aktyw,subst:pl:inst:m3
aktywizacja,aktywizacja,subst:sg:nom:f
aktywizacji,aktywizacja,subst:sg:gen:f
aktywizacją,aktywizacja,subst:sg:inst:f
aktywizację,aktywizacja,subst:sg:acc:f
aktywizacyjnej,aktywizacyjny,adj:sg:gen:f:pos
aktywizacyjnych,aktywizacyjny,adj:pl:gen:m1:pos
aktywizuje,aktywizować,fin:sg:ter:imperf
aktywizują,aktywizować,fin:pl:ter:imperf
aktywizujące,aktywizujący,adj:sg:nom:n:pos
aktywna,aktywny,adj:sg:nom:f:pos
aktywne,aktywny,adj:sg:nom:n:pos
aktywnego,aktywny,adj:sg:gen:m1:pos
aktywnej,aktywny,adj:sg:gen:f:pos
aktywnemu,aktywny,adj:sg:dat:m1:pos
aktywnie,aktywnie,adv:pos
aktywności,aktywność,subst:sg:gen:f
aktywnością,aktywność,subst:sg:inst:f
aktywność,aktywność,subst:sg:nom:f
aktywny,aktywny,adj:sg:nom:m1:pos
aktywnych,aktywny,adj:pl:gen:m1:pos
aktywnym,aktywny,adj:sg:inst:m1:pos
aktywną,aktywny,adj:sg:acc:f:pos
aktywowane,aktywować,ppas:sg:nom:n:imperf:aff
aktywowanych,aktywować,ppas:pl:gen:m1:imperf:aff
aktywów,aktyw,subst:pl:gen:m3
aktów,akt,subst:pl:gen:m3
akumulacji,akumulacja,subst:sg:gen:f
akumulacyjnych,akumulacyjny,adj:pl:gen:m1:pos
akumulator,akumulator,subst:sg:nom:m3
akumulatora,akumulator,subst:sg:gen:m3
akumulatorach,akumulator,subst:pl:loc:m3
akumulatorowe,akumulatorowy,adj:sg:nom:n:pos
akumulatory,akumulator,subst:pl:nom:m3
akumulatorze,akumulator,subst:sg:loc:m3
akumulatorów,akumulator,subst:pl:gen:m3
akumulowania,akumulować,ger:sg:gen:n:imperf:aff
akustyczne,akustyczny,adj:sg:nom:n:pos
akustycznego,akustyczny,adj:sg:gen:m1:pos
akustycznej,akustyczny,adj:sg:gen:f:pos
akustycznie,akustycznie,adv:pos
akustyczny,akustyczny,adj:sg:nom:m1:pos
akustycznych,akustyczny,adj:pl:gen:m1:pos
akustycznym,akustyczny,adj:sg:inst:m1:pos
akustyczną,akustyczny,adj:sg:acc:f:pos
akwakultury,akwakultura,subst:sg:gen:f
akwariowych,akwariowy,adj:pl:gen:m1:pos
akwarium,akwarium,subst:sg:nom:n
akwariów,akwarium,subst:pl:gen:n
akwen,akwen,subst:sg:nom:m3
akwenach,akwen,subst:pl:loc:m3
akwenami,akwen,subst:pl:inst:m3
akwenie,akwen,subst:sg:loc:m3
akwenu,akwen,subst:sg:gen:m3
akweny,akwen,subst:pl:nom:m3
akwenów,akwen,subst:pl:gen:m3
akwizycji,akwizycja,subst:sg:gen:f
akwizycyjna,akwizycyjny,adj:sg:nom:f:pos
akwizycyjne,akwizycyjny,adj:sg:nom:n:pos
akwizycyjnej,akwizycyjny,adj:sg:gen:f:pos
akwizycyjnych,akwizycyjny,adj:pl:gen:m1:pos
akwizycyjną,akwizycyjny,adj:sg:acc:f:pos
alabastry,alabaster,subst:pl:nom:m3
alarmowania,alarmować,ger:sg:gen:n:imperf:aff
alarmowanie,alarmować,ger:sg:nom:n:imperf:aff
alarmowe,alarmowy,adj:sg:nom:n:pos
alarmowego,alarmowy,adj:sg:gen:m1:pos
alarmowej,alarmowy,adj:sg:gen:f:pos
alarmowy,alarmowy,adj:sg:nom:m1:pos
alarmowych,alarmowy,adj:pl:gen:m1:pos
alarmową,alarmowy,adj:sg:acc:f:pos
albo,albo,conj
albumina,albumina,subst:sg:nom:f
albuminy,albumina,subst:sg:gen:f
albumy,album,subst:pl:nom:m3
albumów,album,subst:pl:gen:m3
aldehyd,aldehyd,subst:sg:nom:m3
aldehydem,aldehyd,subst:sg:inst:m3
aldehydu,aldehyd,subst:sg:gen:m3
aldehydów,aldehyd,subst:pl:gen:m3
ale,ale,conj
aleksander,Aleksander,subst:sg:nom:m1
aleksandra,Aleksander,subst:sg:gen:m1
aleksandrowski,aleksandrowski,adj:sg:nom:m1:pos
aleksandrów,Aleksander,subst:pl:gen:m1
alergen,alergen,subst:sg:nom:m3
alergeny,alergen,subst:pl:nom:m3
alergizujący,alergizujący,adj:sg:nom:m1:pos
aleucka,aleucki,adj:sg:nom:f:pos
aleution,aleution,ign
alfa,alfa,subst:sg:nom:f
alfaacetylometadol,alfaacetylometadol,ign
alfabecie,alfabet,subst:sg:loc:m3
alfabetu,alfabet,subst:sg:gen:m3
alfabetycznej,alfabetyczny,adj:sg:gen:f:pos
alfabetycznym,alfabetyczny,adj:sg:inst:m1:pos
alfameprodyna,alfameprodyna,ign
alfametadol,alfametadol,ign
alfaprodyna,alfaprodyna,ign
alfentanyl,alfentanyl,ign
algebraiczną,algebraiczny,adj:sg:acc:f:pos
algorytm,algorytm,subst:sg:nom:m3
algorytmem,algorytm,subst:sg:inst:m3
algorytmie,algorytm,subst:sg:loc:m3
algorytmu,algorytm,subst:sg:gen:m3
algorytmów,algorytm,subst:pl:gen:m3
alianckich,aliancki,adj:pl:gen:m1:pos
alifatyczne,alifatyczny,adj:sg:nom:n:pos
alifatycznych,alifatyczny,adj:pl:gen:m1:pos
alilu,alilu,ign
alimentacji,alimentacja,subst:sg:gen:f
alimentacyjne,alimentacyjny,adj:sg:nom:n:pos
alimentacyjnego,alimentacyjny,adj:sg:gen:m1:pos
alimentacyjny,alimentacyjny,adj:sg:nom:m1:pos
alimentacyjnych,alimentacyjny,adj:pl:gen:m1:pos
alimentacyjnym,alimentacyjny,adj:sg:inst:m1:pos
alimentacyjnymi,alimentacyjny,adj:pl:inst:m1:pos
alimenty,alimenty,subst:pl:nom:n
alimentów,alimenta,subst:pl:gen:n
alkaliczne,alkaliczny,adj:sg:nom:n:pos
alkalicznych,alkaliczny,adj:pl:gen:m1:pos
alkaloidów,alkaloid,subst:pl:gen:m3
alkilobenzeny,alkilobenzeny,ign
alkilonaftaleny,alkilonaftaleny,ign
alkohol,alkohol,subst:sg:nom:m3
alkoholami,alkohol,subst:pl:inst:m3
alkohole,alkohol,subst:pl:nom:m3
alkoholem,alkohol,subst:sg:inst:m3
alkoholi,alkohol,subst:pl:gen:m3
alkoholizmowi,alkoholizm,subst:sg:dat:m3
alkoholizmu,alkoholizm,subst:sg:gen:m3
alkoholomierza,alkoholomierz,subst:sg:gen:m3
