base,freq
Tallin:subst,4
Tarnobrzeg:subst,6
Tarnowo:subst,8
Tarło:subst,1
Tczew:subst,1
Terespol:subst,1
Tomasz:subst,1
Toruń:subst,8
Tracja:subst,1
Treblinka:subst,2
Trzcianka:subst,1
Trzebinia:subst,3
Turcja:subst,2
Turkmenistan:subst,1
Turyn:subst,1
Tworóg:subst,3
Tychy:subst,3
UE:subst,563
UEFA:subst,12
UMTS:subst,1
UOP:subst,3
URz:subst,717
USA:subst,13
UW:subst,1
Uzbekistan:subst,1
V:num,167
VAT:subst,28
VI:num,144
VII:num,106
VIII:num,69
Virginia:subst,1
WAP:subst,2
WHO:subst,1
WKU:subst,1
WP:subst,2
WSK:subst,2
WTO:subst,56
Waszyngton:subst,8
Wałbrzych:subst,7
Wega:subst,3
Wiedeń:subst,11
Wieliczka:subst,4
Wierzbica:subst,5
Wisła:subst,4
Witold:subst,23
Wiśniewo:subst,1
Wołyń:subst,1
Wrocław:subst,27
Wrona:subst,2
Wyszyński:subst,2
Władysław:subst,3
Włochy:subst,5
Włocławek:subst,6
X:num,100
XI:num,43
XII:num,26
XIII:num,22
XIV:num,11
XIX:num,9
XL:num,1
XLI:num,1
XLII:num,1
XLIII:num,1
XLIV:num,7
XV:num,11
XVI:num,13
XVII:num,14
XVIII:num,9
XX:num,6
XXI:num,4
XXII:num,5
XXIII:num,4
XXIV:num,2
XXIX:num,1
XXV:num,4
XXVI:num,2
XXVII:num,2
XXVIII:num,2
XXX:num,4
XXXI:num,1
XXXII:num,1
XXXIII:num,2
XXXIV:num,1
XXXIX:num,7
XXXV:num,2
XXXVI:num,3
XXXVII:num,4
XXXVIII:num,1
ZSRR:subst,4
ZUS:subst,1
Zabrze:subst,6
Zamoyska:subst,1
Zamoyski:subst,1
Zamość:subst,4
Zdzieszowice:subst,2
Zelandia:subst,1
Zelów:subst,1
Zgierz:subst,1
Zygmunt:subst,2
Ząbkowice:subst,2
Złotoryja:subst,1
a:conj,17133
aa:interj,2
aarhus:ign,1
abandon:subst,21
abiotyczny:adj,3
abolicja:subst,1
abonament:subst,1
abonamentowy:adj,10
abonent:subst,41
abortus:ign,3
absolutorium:subst,82
absolwencki:adj,5
absolwent:subst,149
abstrakcyjny:adj,1
abw:ign,15
aby:comp,358
acariosis:ign,1
acetanilid:subst,1
acetoksy:ign,6
acetorfina:ign,1
acetylenowy:adj,4
acetylo:ign,2
acetylodihydrokodeinon:ign,1
acetylometadol:ign,1
ach:interj,1
acyjne:ign,1
aczają:ign,2
adaptacja:subst,23
adaptacyjno:ign,1
adaptacyjnoopiekuńczy:adj,3
adaptacyjny:adj,23
adekwatność:subst,4
adekwatny:adj,2
adenomatosis:ign,2
adiacencki:adj,3
adiunkt:subst,2
admi:ign,1
admiministracji:ign,1
adminis:ign,1
administracja:subst,3029
administracyjno:ign,19
administracyjnoporządkowy:adj,3
administracyjny:adj,1647
administrator:subst,98
administrcację:ign,1
administrować:fin,11
administrować:ger,74
administrować:pact,27
administrować:ppas,14
admirał:subst,21
adnotacja:subst,78
adopcja:subst,1
adopcyjno:ign,42
adopcyjnoopiekuńczy:adj,10
adopcyjny:adj,7
adra:subst,5
adres:subst,1046
adresat:subst,52
adresować:ppas,4
adresowy:adj,12
adventisten:ign,1
advogado:ign,1
adwentysta:subst,15
adwentystyczny:adj,13
adwokacki:adj,146
adwokat:subst,248
adwokatura:subst,33
aegroti:ign,1
aerodynamiczny:adj,1
aerologiczny:adj,1
aerotermalny:adj,3
aerozol:subst,1
aethina:ign,1
aetr:ign,9
affairs:ign,1
afgański:adj,1
afiliować:praet,1
afisz:subst,3
aflatoksyna:subst,1
afo:ign,2
african:ign,4
afrykański:adj,4
agalactia:ign,1
agape:subst,2
agar:subst,2
agaricus:ign,3
agave:ign,5
agencja:subst,1727
agencyjny:adj,95
agent:subst,161
agitacja:subst,16
agitować:inf,1
aglomeracja:subst,24
aglomerować:ppas,2
aglomerownia:subst,5
agonistyczny:adj,9
agrarny:adj,3
agrarwirtschaft:ign,1
agregacja:subst,1
agregat:subst,5
agregować:pact,1
agregować:ppas,1
agresja:subst,4
agrestowy:adj,2
agresywnie:adv,1
agresywność:subst,3
agresywny:adj,2
agricoltura:ign,1
agricultura:ign,2
agriculture:ign,1
agro:ign,1
agrochemiczny:adj,6
agrolotniczy:adj,3
agromelioracja:subst,1
agrometeorologiczny:adj,3
agrotechniczny:adj,8
agrotechnika:subst,1
aids:subst,3
aje:ign,1
ają:ign,1
akademia:subst,249
akademicki:adj,78
akapit:subst,5
akcelerator:subst,2
akceptacja:subst,46
akceptant:subst,1
akceptowalny:adj,4
akceptować:fin,1
akceptować:ger,2
akceptować:ppas,10
akcesja:subst,2
akcesoria:subst,11
akcesyjny:adj,3
akcja:subst,1763
akcjonariusz:subst,460
akcpetację:ign,1
akcyjny:adj,445
akcyza:subst,867
akcyzowy:adj,914
akordeon:subst,1
akordowy:adj,3
akredytacja:subst,249
akredytacyjny:adj,31
akredytować:ger,7
akredytować:pact,6
akredytować:ppas,69
akredytywa:subst,5
akrobacyjny:adj,3
akrotiri:ign,1
akrylowy:adj,12
akt:subst,1513
aktor:subst,1
aktorski:adj,3
aktualizacja:subst,237
aktualizacyjny:adj,15
aktualizować:fin,29
aktualizować:ger,22
aktualizować:inf,5
aktualizować:pact,41
aktualizować:pcon,4
aktualizować:ppas,21
aktualnie:adv,14
aktualności:subst,5
aktualność:subst,2
aktualny:adj,227
aktuarialny:adj,1
aktuariusz:subst,31
aktw:ign,6
aktyw:subst,524
aktywa:subst,139
aktywizacja:subst,30
aktywizacyjny:adj,3
aktywizować:fin,2
aktywizujący:adj,1
aktywnie:adv,3
aktywność:subst,39
aktywny:adj,16
aktywować:ppas,3
akumulacja:subst,1
akumulacyjny:adj,1
akumulator:subst,67
akumulatorowy:adj,9
akumulować:ger,1
akustycznie:adv,1
akustyczny:adj,34
akwakultura:subst,4
akwariowy:adj,4
akwarium:subst,4
akwen:subst,21
akwizycja:subst,12
akwizycyjny:adj,16
alabaster:subst,1
alarmować:ger,10
alarmowy:adj,28
albo:conj,8708
album:subst,2
albumina:subst,3
aldehyd:subst,5
ale:conj,131
aleksandrowski:adj,2
alergen:subst,3
alergizujący:adj,1
aleucki:adj,1
aleution:ign,1
alfa:subst,2
alfaacetylometadol:ign,1
alfabet:subst,2
alfabetyczny:adj,11
alfameprodyna:ign,1
alfametadol:ign,1
alfaprodyna:ign,1
alfentanyl:ign,1
algebraiczny:adj,1
algorytm:subst,28
aliancki:adj,1
alifatyczny:adj,6
alilu:ign,1
alimenta:subst,44
alimentacja:subst,2
alimentacyjny:adj,112
alimenty:subst,15
alkaliczny:adj,3
alkaloid:subst,1
alkilobenzeny:ign,1
alkilonaftaleny:ign,1
alkohol:subst,294
alkoholizm:subst,29
alkoholomierz:subst,1
alkoholowy:adj,239
alkowa:subst,2
allilo:ign,1
alliloprodyna:ign,1
allogeniczne:ign,1
allogenicznego:ign,1
aln:ign,1
alnego:ign,1
alność:ign,1
alny:ign,12
alokacja:subst,9
alokować:ppas,1
alpinizm:subst,1
altana:subst,1
altanka:subst,1
alternatywnie:adv,2
alternatywny:adj,48
aluminiowy:adj,3
aluminium:subst,3
alumn:subst,6
amaryllidaceae:ign,2
amator:subst,3
amatorski:adj,27
amatorsko:adv,1
amazonka:subst,2
ambasador:subst,19
ambulans:subst,5
ambulatorium:subst,7
ambulatoryjny:adj,25
american:ign,2
ameryk:subst,6
amerykański:adj,2
amfibolit:subst,1
ami:ign,5
amid:subst,2
amido:ign,1
amidow:ign,2
amidowy:adj,51
amina:subst,4
aminadodatek:ign,1
aminobutylo:ign,1
aminofenetylo:ign,1
aminokwas:subst,6
aminopropiofenon:ign,1
amnestia:subst,14
amo:ign,4
amon:subst,58
amoniak:subst,1
amono:ign,1
amonow:ign,12
amonoweg:ign,1
amonowo:ign,1
amonowy:adj,60
amortyzacja:subst,115
amortyzacyjny:adj,360
amortyzować:ger,4
amortyzować:ppas,7
ampułka:subst,4
amunicja:subst,133
an:ign,2
ana:ign,1
anaboliczny:adj,3
anaemia:ign,2
analityczny:adj,30
analityk:subst,1
analityka:subst,5
analiza:subst,448
analizować:fin,15
analizować:ger,38
analizować:inf,13
analizować:ppas,6
analogiczny:adj,17
analogowy:adj,3
analysis:ign,1
ananas:subst,1
anas:ign,1
anastasis:ign,1
anatomiczno:ign,1
anatomiczny:adj,2
ane:ign,4
aneks:subst,12
anemia:subst,2
anestezjologia:subst,3
angażować:ger,3
angażować:pact,2
angażować:ppas,1
angielski:adj,6
angielski:subst,28
anglojęzyczny:adj,1
anhydryt:subst,2
ani:conj,429
anidyny:ign,2
anilerydyna:ign,1
animacja:subst,1
animowany:adj,4
anion:subst,6
aniżeli:conj,6
ankieta:subst,49
ankieter:subst,10
ano:interj,1
anonimizacja:ign,1
anonimizacji:ign,5
anonimowo:adv,1
anonimowość:subst,4
anonimowy:adj,5
anorak:subst,16
anser:ign,2
antena:subst,8
antenowy:adj,16
anthracis:ign,1
anthrax:ign,2
antidotum:subst,1
antresola:subst,2
antropogeniczny:adj,3
antrykot:subst,2
antybiotyk:subst,7
antybiotykooporności:ign,1
antybiotykoterapii:ign,1
antybiotykw:ign,1
antydopingowy:adj,16
antydumpingowy:adj,186
antygen:subst,3
antyk:subst,2
antykomunistyczny:adj,1
antykoncepcyjny:adj,1
antykonkurencyjny:adj,1
antykorozyjny:adj,14
antykorupcyjny:adj,45
antykwariat:subst,2
antymon:subst,2
antymonopolowa:subst,21
antymonopolowy:subst,105
antysabotażowy:adj,1
antyseptyk:subst,1
antyterrorystyczny:adj,4
antywłamaniowy:adj,1
anu:ign,1
anulowanie:subst,3
anulować:fin,3
anulować:inf,1
anulować:ppas,1
any:ign,2
aparat:subst,157
aparatowy:adj,1
aparatura:subst,154
apaszka:subst,1
apel:subst,2
apelacja:subst,163
apelacyjny:adj,333
apewnianie:ign,1
aplikacja:subst,190
aplikant:subst,331
aplikantow:ign,1
aport:subst,10
apostille:ign,3
apostolski:adj,2
apreturować:ger,1
aprobata:subst,20
apteczny:adj,52
apteka:subst,339
aptekarski:adj,65
aptekarz:subst,23
ar:subst,2
arabski:adj,4
arabski:subst,4
arbiter:subst,143
arbitralny:adj,2
arbitraż:subst,2
arbitrażowy:adj,6
arbuz:subst,1
archeologiczny:adj,14
archidiecezja:subst,1
architekt:subst,62
architektoniczno:ign,44
architektonicznobudowlany:adj,10
architektoniczny:adj,11
architektura:subst,78
archiwalny:adj,93
archiwizacja:subst,10
archiwizować:fin,5
archiwizować:ger,12
archiwizować:inf,3
archiwizować:ppas,2
archiwum:subst,106
areca:ign,1
arena:subst,3
areszt:subst,365
aresztowana:subst,35
aresztowanie:subst,194
aresztowany:subst,79
argument:subst,2
argyreia:ign,1
arizone:ign,1
arka:subst,2
arkusz:subst,31
armator:subst,288
armatorski:adj,1
armatura:subst,4
armia:subst,5
aromat:subst,4
aromatyczno:ign,1
aromatyczny:adj,24
aromatyzacja:subst,8
aromatyzować:ppas,21
aronia:subst,1
arow:ign,1
arr:ign,2
arsen:subst,4
art:ign,83804
arteritis:ign,2
arthritis:ign,2
artykuł:subst,560
artysta:subst,25
artystyczny:adj,251
arytmetyczny:adj,12
asekuracja:subst,1
asekuracyjny:adj,1
asenizacyjny:adj,3
aseptyczny:adj,1
asesor:subst,184
asesorski:adj,4
asesura:subst,8
asfalt:subst,2
asfaltowy:adj,1
asfaltyt:subst,1
asistent:ign,3
asortyment:subst,8
asortymentowy:adj,1
aspekt:subst,11
aspirancki:adj,1
aspirant:subst,23
astma:subst,1
astrolog:subst,1
astronomiczny:adj,1
asymilować:ppas,1
asysta:subst,18
asystent:subst,36
asystentka:subst,1
asystować:ger,3
asystować:pact,2
at:subst,2
atak:subst,3
atakować:fin,1
ataszat:subst,1
atc:ign,1
atcvet:ign,1
atest:subst,10
atestacja:subst,2
atestować:ger,2
atestować:ppas,3
ateński:adj,9
atlas:subst,1
atmosfe:ign,1
atmosfera:subst,13
atmosferyazotu:ign,1
atmosferyc:ign,1
atmosferyczn:ign,1
atmosferyczny:adj,24
atomistyka:subst,26
atomowy:adj,29
atrakcyjność:subst,1
atrakcyjny:adj,1
atramentowy:adj,1
ats:ign,1
attaches:ign,1
attaché:subst,4
atu:subst,1
au:interj,1
audialny:adj,4
audiodeskrypcja:subst,2
audioteksowy:adj,11
audiotekstowy:adj,1
audiowizualny:adj,198
auditorów:ign,3
audycja:subst,152
audyt:subst,119
audytor:subst,25
audytorski:adj,9
audytowy:adj,1
augsburski:adj,6
aukcja:subst,30
aukcyjny:adj,7
aureus:subst,1
australijski:adj,1
austriacki:adj,2
autentyczność:subst,19
autentyczny:adj,6
auto:subst,1
autobus:subst,40
autobusowy:adj,25
autodiagnoza:subst,2
autokar:subst,4
autokefaliczny:adj,7
autoklaw:subst,8
autologiczny:adj,4
automa:ign,1
automat:subst,153
automatycznie:adv,10
automatyczny:adj,65
automatyka:subst,3
automatyzacja:subst,3
autonomiczny:adj,8
autor:subst,25
autorski:adj,95
autorstwo:subst,7
autorytet:subst,15
autoryzacja:subst,11
autoryzować:ppas,14
autostrada:subst,284
autostradowy:adj,6
avian:ign,7
avocat:ign,2
aw:ign,3
awans:subst,59
awansować:ger,26
awansować:praet,1
awansowy:adj,29
awaria:subst,238
awaryjny:adj,18
awokado:subst,1
azabicyklo:ign,1
azbest:subst,38
azbestolit:ign,1
azbestowo:ign,11
azbestowy:adj,6
azerbejdżański:adj,3
azjatycki:adj,4
azot:subst,403
azota:ign,1
azotan:subst,83
azotano:ign,2
azotanow:ign,11
azotanowy:adj,43
azotowegoamonu:ign,1
azotowo:ign,9
azotowy:adj,17
azydek:subst,1
azyl:subst,29
aż:comp,93
ażeby:comp,3
aдвокат:ign,1
babassu:ign,2
babina:subst,1
babka:subst,2
bacewiczów:ign,1
bacillus:ign,1
baczyć:pcon,3
badacz:subst,5
badający:adj,6
badan:subst,251
badanie:subst,2720
badany:adj,25
badany:depr,6
badany:subst,34
badawczo:adv,257
badawczorozwo:ign,1
badawczorozwojowy:adj,22
badawczy:adj,390
badać:fin,51
badać:inf,16
badać:pcon,8
badać:praet,2
bagaż:subst,57
bagażowe:subst,4
bagażowy:adj,1
bagienny:adj,2
bagno:subst,4
bagrowo:ign,1
bajazzo:ign,1
bakteria:subst,4
bakteriologiczny:adj,1
bakteryjny:adj,4
bakłażan:subst,2
balastowy:adj,10
baletowy:adj,1
balice:ign,1
balkon:subst,3
balon:subst,4
balot:subst,1
balustrada:subst,3
balwierski:adj,2
bambus:subst,1
bambusowy:adj,1
banan:subst,4
bandaż:subst,1
bandażownictwo:subst,1
bandera:subst,51
banderola:subst,17
banderolować:ger,1
banisteriopsis:ign,1
banjo:subst,1
bank:subst,3031
banknot:subst,17
bankowania:ign,19
bankowo:adv,3
bankowość:subst,4
bankowy:adj,1119
baptysta:subst,7
baptystyczny:adj,1
bar:subst,14
barak:subst,4
barakowóz:subst,1
barani:adj,1
bardziej:adv,16
bardzo:adv,46
barek:subst,5
baretka:subst,4
bariera:subst,13
barka:subst,1
barlinek:ign,1
barratta:ign,1
barrgo:ign,1
barrégo:ign,1
barterowy:adj,1
bartoszycki:adj,2
barwa:subst,57
barwić:ger,19
barwić:ppas,40
barwnik:subst,22
barwny:adj,2
baryt:subst,7
baryłka:subst,1
basen:subst,7
baszni:ign,1
basznia:ign,1
baszta:subst,1
bat:subst,28
batalion:subst,19
bateria:subst,33
batymetria:subst,1
bawełna:subst,243
bawełniany:adj,130
bawół:subst,1
bay:ign,2
baza:subst,304
bazalt:subst,6
bazowy:adj,200
bałtycki:adj,17
bażant:subst,2
bażanówka:ign,1
beczek:subst,1
beczka:subst,2
beczkowy:adj,2
beczkowóz:subst,1
bednarski:adj,2
bednarstwo:subst,2
bees:ign,1
bef:ign,1
behawioralny:adj,2
bel:subst,3
belgijski:adj,1
belować:ger,2
beneficjent:subst,46
bentonitowy:adj,1
benzazocyn:ign,1
benzen:subst,2
benzetydyna:ign,1
benzimidazol:ign,1
benzimidazolinylo:ign,1
benzoiloekgoniny:ign,1
benzoiloksy:ign,1
benzol:subst,1
benzomorfan:ign,2
benzyloksy:ign,2
benzyloksyetylo:ign,1
benzylomorfina:ign,2
benzyna:subst,28
benzynowy:adj,3
berberys:subst,1
beret:subst,2
berlina:subst,6
beryl:subst,2
beschrankter:ign,1
bet:subst,8
betaagonistycznym:ign,3
betacetylometadol:ign,1
betameprodyna:ign,1
betametadol:ign,1
betania:ign,3
betaprodyna:ign,1
betel:subst,15
betezda:ign,5
beton:subst,3
betonowy:adj,17
bez:prep,2394
bez:subst,1
bezadresowy:adj,1
bezalkoholowy:adj,14
bezazbestowy:adj,1
bezbronność:subst,3
bezbłędnie:adv,3
bezbłędność:subst,2
bezcelowy:adj,2
bezciśnieniowy:adj,2
bezczynność:subst,18
bezdetonacyjny:adj,1
bezdomna:subst,34
bezdomność:subst,3
bezdomny:subst,2
bezdymny:adj,1
bezegzekucyjny:adj,1
bezgotówkowo:adv,2
bezgotówkowy:adj,13
bezkolizyjny:adj,2
bezledach:ign,2
bezmleczność:ign,1
bezodpadowy:adj,1
bezodpływowy:adj,16
bezosobowy:adj,14
bezow:ign,2
bezowdne:ign,2
bezołowiowy:adj,1
bezpie:ign,2
bezpieczeństwo:subst,2140
bezpiecznie:adv,2
bezpiecznikowy:adj,2
bezpieczny:adj,181
bezpo:ign,1
bezpodstawnie:adv,28
bezpodstawność:subst,1
bezpodstawny:adj,16
bezpowrotnie:adv,1
bezpowrotny:adj,5
bezpośredni:adj,821
bezpośrednio:adv,879
bezprawnie:adv,27
bezprawność:subst,5
bezprawny:adj,79
bezprzedmiotowość:subst,1
bezprzedmiotowy:adj,14
bezprzetargowy:adj,1
bezprzewodowy:adj,8
bezpółkowy:adj,2
bezpłatnie:adv,70
bezpłatność:subst,1
bezpłatny:adj,295
bezpłatych:ign,1
bezradność:subst,1
bezrobocie:subst,204
bezrobotna:subst,198
bezrobotny:subst,207
bezsenność:subst,1
bezskutecznie:adv,2
bezskuteczność:subst,25
bezskuteczny:adj,142
bezsporny:adj,7
bezstronnie:adv,19
bezstronność:subst,46
bezstronny:adj,17
bezszkodowy:adj,1
bezszynowy:adj,4
bezterminowo:adv,3
bezterminowy:adj,4
beztlenowy:adj,2
bezumownie:adv,2
bezumowny:adj,2
bezużyteczny:adj,2
bezwarunkowo:adv,6
bezwarunkowy:adj,5
bezwizowy:adj,1
bezwo:ign,1
bezwodneg:ign,1
bezwodny:adj,12
bezwyznaniowość:subst,5
bezwzględny:adj,98
bezytramid:ign,1
bezzasadnie:adv,8
bezzasadność:subst,16
bezzasadny:adj,21
bezzbiornikowy:adj,24
bezzwrotnie:adv,1
bezzwrotny:adj,26
bezzwłocznie:adv,59
bezzwłoczny:adj,21
bezściółkowy:adj,2
bełchatowski:adj,2
bhp:subst,27
bialskopodlaski:adj,3
białaczka:subst,3
białek:subst,15
białka:subst,1
białkopodobny:adj,1
biało:adv,3
białobrzeski:adj,2
białogardzki:adj,2
białopole:ign,1
białoruski:adj,1
białostocki:adj,3
biały:adj,33
biały:depr,6
biały:subst,23
biblia:subst,1
biblijny:adj,1
bibliofilski:adj,1
bibliografia:subst,5
bibliograficzny:adj,8
