orth,base,cat
adopcyjnoopiekuńczymi,adopcyjnoopiekuńczy,adj
adopcyjnych,adopcyjny,adj
adopcyjnymi,adopcyjny,adj
adopcyjną,adopcyjny,adj
adr,adra,subst
adres,adres,subst
adresach,adres,subst
adresami,adres,subst
adresat,adresat,subst
adresata,adresat,subst
adresatem,adresat,subst
adresatom,adresat,subst
adresatowi,adresat,subst
adresatów,adresat,subst
adresem,adres,subst
adresie,adres,subst
adresowane,adresować,ppas
adresowany,adresować,ppas
adresowanym,adresować,ppas
adresowe,adresowy,adj
adresowej,adresowy,adj
adresowych,adresowy,adj
adresowymi,adresowy,adj
adresową,adresowy,adj
adresu,adres,subst
adresy,adres,subst
adresów,adres,subst
adventisten,adventisten,ign
advogado,advogado,ign
adwentystyczne,adwentystyczny,adj
adwentystycznego,adwentystyczny,adj
adwentystycznej,adwentystyczny,adj
adwentystyczny,adwentystyczny,adj
adwentystycznych,adwentystyczny,adj
adwentystycznym,adwentystyczny,adj
adwentystycznymi,adwentystyczny,adj
adwentystów,adwentysta,subst
adwokaccy,adwokacki,adj
adwokaci,adwokat,subst
adwokacie,adwokat,subst
adwokacka,adwokacki,adj
adwokacki,adwokacki,adj
adwokackich,adwokacki,adj
adwokackie,adwokacki,adj
adwokackiego,adwokacki,adj
adwokackiej,adwokacki,adj
adwokackiemu,adwokacki,adj
adwokackim,adwokacki,adj
adwokackimi,adwokacki,adj
adwokacką,adwokacki,adj
adwokat,adwokat,subst
adwokata,adwokat,subst
adwokatami,adwokat,subst
adwokatem,adwokat,subst
adwokatom,adwokat,subst
adwokatowi,adwokat,subst
adwokatury,adwokatura,subst
adwokaturze,adwokatura,subst
adwokatów,adwokat,subst
aegroti,aegroti,ign
aerodynamicznej,aerodynamiczny,adj
aerologicznych,aerologiczny,adj
aerotermalnej,aerotermalny,adj
aerotermalną,aerotermalny,adj
aerozoli,aerozol,subst
aethina,aethina,ign
aetr,aetr,ign
affairs,affairs,ign
afganistanie,Afganistan,subst
afgańskiego,afgański,adj
afiliowały,afiliować,praet
afisz,afisz,subst
afisze,afisz,subst
afiszem,afisz,subst
aflatoksynę,aflatoksyna,subst
afo,afo,ign
african,african,ign
afrykański,afrykański,adj
agalactia,agalactia,ign
agape,agape,subst
agar,agar,subst
agaricus,agaricus,ign
agave,agave,ign
agenci,agent,subst
agencja,agencja,subst
agencjach,agencja,subst
agencjami,agencja,subst
agencje,agencja,subst
agencji,agencja,subst
agencjom,agencja,subst
agencją,agencja,subst
agencję,agencja,subst
agencyjna,agencyjny,adj
agencyjne,agencyjny,adj
agencyjnej,agencyjny,adj
agencyjnych,agencyjny,adj
agencyjnymi,agencyjny,adj
agencyjną,agencyjny,adj
agent,agent,subst
agenta,agent,subst
agentem,agent,subst
agentom,agent,subst
agentowi,agent,subst
agentów,agent,subst
agitacja,agitacja,subst
agitacji,agitacja,subst
agitację,agitacja,subst
agitować,agitować,inf
aglomeracja,aglomeracja,subst
aglomeracjach,aglomeracja,subst
aglomeracjami,aglomeracja,subst
aglomeracje,aglomeracja,subst
aglomeracji,aglomeracja,subst
aglomeracją,aglomeracja,subst
aglomerowany,aglomerować,ppas
aglomerowni,aglomerownia,subst
agonistycznym,agonistyczny,adj
agrarnej,agrarny,adj
agrarwirtschaft,agrarwirtschaft,ign
agregację,agregacja,subst
agregatach,agregat,subst
agregatów,agregat,subst
agregowane,agregować,ppas
agregujących,agregować,pact
agresji,agresja,subst
agrestowych,agrestowy,adj
agresywna,agresywny,adj
agresywnie,agresywnie,adv
agresywności,agresywność,subst
agresywnością,agresywność,subst
agresywną,agresywny,adj
agricoltura,agricoltura,ign
agricultura,agricultura,ign
agriculture,agriculture,ign
agro,agro,ign
agrochemiczna,agrochemiczny,adj
agrochemicznej,agrochemiczny,adj
agrochemicznych,agrochemiczny,adj
agrochemiczną,agrochemiczny,adj
agrolotniczy,agrolotniczy,adj
agrolotniczym,agrolotniczy,adj
agromelioracji,agromelioracja,subst
agrometeorologicznych,agrometeorologiczny,adj
agrotechniczne,agrotechniczny,adj
agrotechnicznego,agrotechniczny,adj
agrotechnicznych,agrotechniczny,adj
agrotechnicznym,agrotechniczny,adj
agrotechniki,agrotechnika,subst
aids,aids,subst
aje,aje,ign
ają,ają,ign
akademia,akademia,subst
akademiami,akademia,subst
akademiccy,akademicki,adj
akademicka,akademicki,adj
akademicki,akademicki,adj
akademickich,akademicki,adj
akademickie,akademicki,adj
akademickiego,akademicki,adj
akademickiej,akademicki,adj
akademickiemu,akademicki,adj
akademickim,akademicki,adj
akademickimi,akademicki,adj
akademie,akademia,subst
akademii,akademia,subst
akademią,akademia,subst
akademię,akademia,subst
akapicie,akapit,subst
akapit,akapit,subst
akceleratorów,akcelerator,subst
akceptacja,akceptacja,subst
akceptacji,akceptacja,subst
akceptację,akceptacja,subst
akceptanta,akceptant,subst
akceptowalne,akceptowalny,adj
akceptowalny,akceptowalny,adj
akceptowana,akceptować,ppas
akceptowane,akceptować,ppas
akceptowanie,akceptować,ger
akceptowanych,akceptować,ppas
akceptuje,akceptować,fin
akcesji,akcesja,subst
akcesoria,akcesoria,subst
akcesoriów,akcesoria,subst
akcesyjnego,akcesyjny,adj
akcesyjny,akcesyjny,adj
akcie,akt,subst
akcja,akcja,subst
akcjach,akcja,subst
akcjami,akcja,subst
akcje,akcja,subst
akcji,akcja,subst
akcjom,akcja,subst
akcjonariusz,akcjonariusz,subst
akcjonariusza,akcjonariusz,subst
akcjonariuszach,akcjonariusz,subst
akcjonariuszami,akcjonariusz,subst
akcjonariusze,akcjonariusz,subst
akcjonariuszem,akcjonariusz,subst
akcjonariuszom,akcjonariusz,subst
akcjonariuszowi,akcjonariusz,subst
akcjonariuszy,akcjonariusz,subst
akcją,akcja,subst
akcję,akcja,subst
akcpetację,akcpetację,ign
akcyjna,akcyjny,adj
akcyjne,akcyjny,adj
akcyjnego,akcyjny,adj
akcyjnej,akcyjny,adj
akcyjnemu,akcyjny,adj
akcyjny,akcyjny,adj
akcyjnych,akcyjny,adj
akcyjnym,akcyjny,adj
akcyjnymi,akcyjny,adj
akcyjną,akcyjny,adj
akcyza,akcyza,subst
akcyzie,akcyza,subst
akcyzowe,akcyzowy,adj
akcyzowego,akcyzowy,adj
akcyzowemu,akcyzowy,adj
akcyzowy,akcyzowy,adj
akcyzowych,akcyzowy,adj
akcyzowym,akcyzowy,adj
akcyzowymi,akcyzowy,adj
akcyzy,akcyza,subst
akcyzą,akcyza,subst
akcyzę,akcyza,subst
akordeony,akordeon,subst
akordowej,akordowy,adj
akredytacja,akredytacja,subst
akredytacji,akredytacja,subst
akredytacją,akredytacja,subst
akredytację,akredytacja,subst
akredytacyjna,akredytacyjny,adj
akredytacyjne,akredytacyjny,adj
akredytacyjnego,akredytacyjny,adj
akredytacyjnej,akredytacyjny,adj
akredytacyjny,akredytacyjny,adj
akredytacyjnych,akredytacyjny,adj
akredytacyjną,akredytacyjny,adj
akredytowana,akredytować,ppas
akredytowane,akredytować,ppas
akredytowanego,akredytować,ppas
akredytowanej,akredytować,ppas
akredytowanemu,akredytować,ppas
akredytowania,akredytować,ger
akredytowanie,akredytować,ger
akredytowanych,akredytować,ppas
akredytowanym,akredytować,ppas
akredytowanymi,akredytować,ppas
akredytowaną,akredytować,ppas
akredytująca,akredytować,pact
akredytującej,akredytować,pact
akredytującymi,akredytować,pact
akredytującą,akredytować,pact
akredytyw,akredytywa,subst
akredytywy,akredytywa,subst
akrobacyjnych,akrobacyjny,adj
akrotiri,akrotiri,ign
akrylowe,akrylowy,adj
akrylowy,akrylowy,adj
akrylowych,akrylowy,adj
akt,akt,subst
akta,akt,subst
aktach,akt,subst
aktami,akt,subst
aktem,akt,subst
aktom,akt,subst
aktorskiej,aktorski,adj
aktorów,aktor,subst
aktowi,akt,subst
aktu,akt,subst
aktualizacja,aktualizacja,subst
aktualizacjach,aktualizacja,subst
aktualizacji,aktualizacja,subst
aktualizacją,aktualizacja,subst
aktualizację,aktualizacja,subst
aktualizacyjne,aktualizacyjny,adj
aktualizacyjnego,aktualizacyjny,adj
aktualizacyjnych,aktualizacyjny,adj
aktualizowane,aktualizować,ppas
aktualizowanej,aktualizować,ppas
aktualizowania,aktualizować,ger
aktualizowanie,aktualizować,ger
aktualizowaniem,aktualizować,ger
aktualizowaniu,aktualizować,ger
aktualizowany,aktualizować,ppas
aktualizowanym,aktualizować,ppas
aktualizowaną,aktualizować,ppas
aktualizować,aktualizować,inf
aktualizuje,aktualizować,fin
aktualizują,aktualizować,fin
aktualizując,aktualizować,pcon
aktualizujące,aktualizować,pact
aktualizującego,aktualizować,pact
aktualizujących,aktualizować,pact
aktualizującymi,aktualizować,pact
aktualne,aktualny,adj
aktualnego,aktualny,adj
aktualnej,aktualny,adj
aktualnemu,aktualny,adj
aktualnie,aktualnie,adv
aktualności,aktualności,subst
aktualność,aktualność,subst
aktualny,aktualny,adj
aktualnych,aktualny,adj
aktualnym,aktualny,adj
aktualnymi,aktualny,adj
aktualną,aktualny,adj
aktuarialnych,aktuarialny,adj
aktuariusz,aktuariusz,subst
aktuariusza,aktuariusz,subst
aktuariuszem,aktuariusz,subst
aktuariuszy,aktuariusz,subst
aktw,aktw,ign
akty,akt,subst
aktywa,aktywa,subst
aktywach,aktyw,subst
aktywami,aktyw,subst
aktywizacja,aktywizacja,subst
aktywizacji,aktywizacja,subst
aktywizacją,aktywizacja,subst
aktywizację,aktywizacja,subst
aktywizacyjnej,aktywizacyjny,adj
aktywizacyjnych,aktywizacyjny,adj
aktywizuje,aktywizować,fin
aktywizują,aktywizować,fin
aktywizujące,aktywizujący,adj
aktywna,aktywny,adj
aktywne,aktywny,adj
aktywnego,aktywny,adj
aktywnej,aktywny,adj
aktywnemu,aktywny,adj
aktywnie,aktywnie,adv
aktywności,aktywność,subst
aktywnością,aktywność,subst
aktywność,aktywność,subst
aktywny,aktywny,adj
aktywnych,aktywny,adj
aktywnym,aktywny,adj
aktywną,aktywny,adj
aktywowane,aktywować,ppas
aktywowanych,aktywować,ppas
aktywów,aktyw,subst
aktów,akt,subst
akumulacji,akumulacja,subst
akumulacyjnych,akumulacyjny,adj
akumulator,akumulator,subst
akumulatora,akumulator,subst
akumulatorach,akumulator,subst
akumulatorowe,akumulatorowy,adj
akumulatory,akumulator,subst
akumulatorze,akumulator,subst
akumulatorów,akumulator,subst
akumulowania,akumulować,ger
akustyczne,akustyczny,adj
akustycznego,akustyczny,adj
akustycznej,akustyczny,adj
akustycznie,akustycznie,adv
akustyczny,akustyczny,adj
akustycznych,akustyczny,adj
akustycznym,akustyczny,adj
akustyczną,akustyczny,adj
akwakultury,akwakultura,subst
akwariowych,akwariowy,adj
akwarium,akwarium,subst
akwariów,akwarium,subst
akwen,akwen,subst
akwenach,akwen,subst
akwenami,akwen,subst
akwenie,akwen,subst
akwenu,akwen,subst
akweny,akwen,subst
akwenów,akwen,subst
akwizycji,akwizycja,subst
akwizycyjna,akwizycyjny,adj
akwizycyjne,akwizycyjny,adj
akwizycyjnej,akwizycyjny,adj
akwizycyjnych,akwizycyjny,adj
akwizycyjną,akwizycyjny,adj
alabastry,alabaster,subst
alarmowania,alarmować,ger
alarmowanie,alarmować,ger
alarmowe,alarmowy,adj
alarmowego,alarmowy,adj
alarmowej,alarmowy,adj
alarmowy,alarmowy,adj
alarmowych,alarmowy,adj
alarmową,alarmowy,adj
albo,albo,conj
albumina,albumina,subst
albuminy,albumina,subst
albumy,album,subst
albumów,album,subst
aldehyd,aldehyd,subst
aldehydem,aldehyd,subst
aldehydu,aldehyd,subst
aldehydów,aldehyd,subst
ale,ale,conj
aleksander,Aleksander,subst
aleksandra,Aleksander,subst
aleksandrowski,aleksandrowski,adj
aleksandrów,Aleksander,subst
alergen,alergen,subst
alergeny,alergen,subst
alergizujący,alergizujący,adj
aleucka,aleucki,adj
aleution,aleution,ign
alfa,alfa,subst
alfaacetylometadol,alfaacetylometadol,ign
alfabecie,alfabet,subst
alfabetu,alfabet,subst
alfabetycznej,alfabetyczny,adj
alfabetycznym,alfabetyczny,adj
alfameprodyna,alfameprodyna,ign
alfametadol,alfametadol,ign
alfaprodyna,alfaprodyna,ign
alfentanyl,alfentanyl,ign
algebraiczną,algebraiczny,adj
algorytm,algorytm,subst
algorytmem,algorytm,subst
algorytmie,algorytm,subst
algorytmu,algorytm,subst
algorytmów,algorytm,subst
alianckich,aliancki,adj
alifatyczne,alifatyczny,adj
alifatycznych,alifatyczny,adj
alilu,alilu,ign
alimentacji,alimentacja,subst
alimentacyjne,alimentacyjny,adj
alimentacyjnego,alimentacyjny,adj
alimentacyjny,alimentacyjny,adj
alimentacyjnych,alimentacyjny,adj
alimentacyjnym,alimentacyjny,adj
alimentacyjnymi,alimentacyjny,adj
alimenty,alimenty,subst
alimentów,alimenta,subst
alkaliczne,alkaliczny,adj
alkalicznych,alkaliczny,adj
alkaloidów,alkaloid,subst
alkilobenzeny,alkilobenzeny,ign
alkilonaftaleny,alkilonaftaleny,ign
alkohol,alkohol,subst
alkoholami,alkohol,subst
alkohole,alkohol,subst
alkoholem,alkohol,subst
alkoholi,alkohol,subst
alkoholizmowi,alkoholizm,subst
alkoholizmu,alkoholizm,subst
alkoholomierza,alkoholomierz,subst
alkoholowa,alkoholowy,adj
alkoholowe,alkoholowy,adj
alkoholowego,alkoholowy,adj
alkoholowej,alkoholowy,adj
alkoholowy,alkoholowy,adj
alkoholowych,alkoholowy,adj
alkoholowym,alkoholowy,adj
alkoholowymi,alkoholowy,adj
alkoholową,alkoholowy,adj
alkoholu,alkohol,subst
alków,alkowa,subst
allilo,allilo,ign
alliloprodyna,alliloprodyna,ign
allogeniczne,allogeniczne,ign
allogenicznego,allogenicznego,ign
aln,aln,ign
alnego,alnego,ign
alność,alność,ign
alny,alny,ign
alokacja,alokacja,subst
alokacji,alokacja,subst
alokację,alokacja,subst
alokowanej,alokować,ppas
alpinizmu,alpinizm,subst
altan,altana,subst
altanek,altanka,subst
alternatywne,alternatywny,adj
alternatywnego,alternatywny,adj
alternatywnie,alternatywnie,adv
alternatywny,alternatywny,adj
alternatywnych,alternatywny,adj
alternatywnym,alternatywny,adj
alternatywnymi,alternatywny,adj
alternatywną,alternatywny,adj
aluminiowa,aluminiowy,adj
aluminiowe,aluminiowy,adj
aluminium,aluminium,subst
alumnami,alumn,subst
alumni,alumn,subst
alumnom,alumn,subst
alumnów,alumn,subst
am,Księga_Amosa,brev
amaryllidaceae,amaryllidaceae,ign
amatora,amator,subst
amatorski,amatorski,adj
amatorskiego,amatorski,adj
amatorskiej,amatorski,adj
amatorskim,amatorski,adj
amatorsko,amatorsko,adv
amazonek,amazonka,subst
ambasador,ambasador,subst
ambasadora,ambasador,subst
ambasadorem,ambasador,subst
ambasadorowi,ambasador,subst
ambasadorowie,ambasador,subst
ambasadorze,ambasador,subst
ambasadorów,ambasador,subst
ambulans,ambulans,subst
ambulansów,ambulans,subst
ambulatorium,ambulatorium,subst
ambulatoryjne,ambulatoryjny,adj
ambulatoryjnej,ambulatoryjny,adj
ambulatoryjnemu,ambulatoryjny,adj
ambulatoryjnych,ambulatoryjny,adj
ambulatoryjnym,ambulatoryjny,adj
american,american,ign
amerykański,amerykański,adj
ameryki,ameryk,subst
amfibolity,amfibolit,subst
ami,ami,ign
amid,amid,subst
amido,amido,ign
amidow,amidow,ign
amidowego,amidowy,adj
amidowej,amidowy,adj
amidowy,amidowy,adj
aminadodatek,aminadodatek,ign
amino,amina,subst
aminobutylo,aminobutylo,ign
aminofenetylo,aminofenetylo,ign
aminokwasy,aminokwas,subst
aminokwasów,aminokwas,subst
aminopropiofenon,aminopropiofenon,ign
aminy,amina,subst
amnestii,amnestia,subst
amnestię,amnestia,subst
amo,amo,ign
amoniaku,amoniak,subst
amono,amono,ign
amonow,amonow,ign
amonoweg,amonoweg,ign
amonowego,amonowy,adj
amonowej,amonowy,adj
amonowo,amonowo,ign
amonowy,amonowy,adj
amonowym,amonowy,adj
amonu,amon,subst
amortyzacja,amortyzacja,subst
amortyzacji,amortyzacja,subst
amortyzacją,amortyzacja,subst
amortyzację,amortyzacja,subst
amortyzacyjna,amortyzacyjny,adj
amortyzacyjne,amortyzacyjny,adj
amortyzacyjnego,amortyzacyjny,adj
amortyzacyjnej,amortyzacyjny,adj
amortyzacyjnych,amortyzacyjny,adj
amortyzacyjnym,amortyzacyjny,adj
amortyzacyjnymi,amortyzacyjny,adj
amortyzacyjną,amortyzacyjny,adj
amortyzowanego,amortyzować,ppas
amortyzowania,amortyzować,ger
amortyzowaniu,amortyzować,ger
amortyzowanych,amortyzować,ppas
ampułek,ampułka,subst
ampułkach,ampułka,subst
ampułkami,ampułka,subst
amunicja,amunicja,subst
amunicji,amunicja,subst
amunicją,amunicja,subst
amunicję,amunicja,subst
an,an,ign
ana,ana,ign
anaboliczne,anaboliczny,adj
anabolicznych,anaboliczny,adj
anaemia,anaemia,ign
analityczne,analityczny,adj
analitycznego,analityczny,adj
analitycznej,analityczny,adj
analityczny,analityczny,adj
analitycznych,analityczny,adj
analityki,analityka,subst
analityków,analityk,subst
analityką,analityka,subst
analiz,analiza,subst
analiza,analiza,subst
analizach,analiza,subst
analizami,analiza,subst
analizie,analiza,subst
analizom,analiza,subst
analizowane,analizować,ppas
analizowanego,analizować,ppas
analizowania,analizować,ger
analizowanie,analizować,ger
analizowaniem,analizować,ger
analizowaniu,analizować,ger
analizowanych,analizować,ppas
analizować,analizować,inf
analizuje,analizować,fin
analizy,analiza,subst
analizą,analiza,subst
analizę,analiza,subst
analogiczna,analogiczny,adj
analogiczne,analogiczny,adj
analogicznego,analogiczny,adj
analogiczny,analogiczny,adj
analogicznych,analogiczny,adj
analogicznym,analogiczny,adj
analogiczną,analogiczny,adj
analogowego,analogowy,adj
analogowej,analogowy,adj
analogowych,analogowy,adj
analysis,analysis,ign
ananasy,ananas,subst
anas,anas,ign
anastasis,anastasis,ign
anatomicznej,anatomiczny,adj
anatomiczno,anatomiczno,ign
and,Anda,subst
andory,Andora,subst
ane,ane,ign
aneks,aneks,subst
aneksie,aneks,subst
aneksom,aneks,subst
aneksu,aneks,subst
anemia,anemia,subst
anestezjologii,anestezjologia,subst
angażowania,angażować,ger
angażowanych,angażować,ppas
angażujących,angażować,pact
angielski,angielski,subst
angielskiego,angielski,subst
angielskiej,angielski,adj
angielskim,angielski,subst
anglojęzycznych,anglojęzyczny,adj
anhydrytu,anhydryt,subst
anhydryty,anhydryt,subst
ani,ani,conj
ania,Ania,subst
anidyny,anidyny,ign
anie,Ania,subst
anilerydyna,anilerydyna,ign
animacji,animacja,subst
animowanego,animowany,adj
animowanych,animowany,adj
anionu,anion,subst
aniżeli,aniżeli,conj
ankiecie,ankieta,subst
ankiet,ankieta,subst
ankieta,ankieta,subst
ankietach,ankieta,subst
ankieterom,ankieter,subst
ankieterzy,ankieter,subst
ankieterów,ankieter,subst
ankiety,ankieta,subst
ankietą,ankieta,subst
ankietę,ankieta,subst
ano,ano,interj
anonimizacja,anonimizacja,ign
anonimizacji,anonimizacji,ign
anonimowe,anonimowy,adj
anonimowo,anonimowo,adv
anonimowości,anonimowość,subst
anonimowy,anonimowy,adj
anonimowych,anonimowy,adj
anorak,anorak,subst
anser,anser,ign
antarktyce,Antarktyka,subst
ante,Ante,subst
anten,antena,subst
antenowego,antenowy,adj
antenowy,antenowy,adj
antenowych,antenowy,adj
antenowym,antenowy,adj
anteny,antena,subst
antenę,antena,subst
anthracis,anthracis,ign
anthrax,anthrax,ign
antidota,antidotum,subst
antresoli,antresola,subst
antropogeniczny,antropogeniczny,adj
antropogenicznych,antropogeniczny,adj
antrykot,antrykot,subst
antrykotu,antrykot,subst
antybiotyki,antybiotyk,subst
antybiotykooporności,antybiotykooporności,ign
antybiotykoterapii,antybiotykoterapii,ign
antybiotykw,antybiotykw,ign
antybiotyków,antybiotyk,subst
antydopingowe,antydopingowy,adj
antydopingowej,antydopingowy,adj
antydopingowych,antydopingowy,adj
antydopingowym,antydopingowy,adj
antydumpingowe,antydumpingowy,adj
antydumpingowego,antydumpingowy,adj
antydumpingowemu,antydumpingowy,adj
antydumpingowych,antydumpingowy,adj
antydumpingowym,antydumpingowy,adj
antydumpingowymi,antydumpingowy,adj
antygenów,antygen,subst
antyki,antyk,subst
antykomunistycznej,antykomunistyczny,adj
antykoncepcyjnymi,antykoncepcyjny,adj
antykonkurencyjnym,antykonkurencyjny,adj
antykorozyjne,antykorozyjny,adj
antykorozyjnego,antykorozyjny,adj
antykorozyjnych,antykorozyjny,adj
antykorozyjnymi,antykorozyjny,adj
antykorupcyjne,antykorupcyjny,adj
antykorupcyjnego,antykorupcyjny,adj
antykorupcyjnemu,antykorupcyjny,adj
antykorupcyjnym,antykorupcyjny,adj
antykwariaty,antykwariat,subst
antymon,antymon,subst
antymonopolowe,antymonopolowa,subst
antymonopolowego,antymonopolowy,subst
antymonopolowemu,antymonopolowy,subst
antymonopolowy,antymonopolowy,subst
antymonopolowych,antymonopolowa,subst
antymonopolowym,antymonopolowa,subst
antymonu,antymon,subst
antysabotażowych,antysabotażowy,adj
antyseptyków,antyseptyk,subst
antyterrorystyczne,antyterrorystyczny,adj
antyterrorystycznych,antyterrorystyczny,adj
antywłamaniowych,antywłamaniowy,adj
anu,anu,ign
anulowane,anulować,ppas
anulowania,anulowanie,subst
anulować,anulować,inf
anuluje,anulować,fin
any,any,ign
aparat,aparat,subst
aparatami,aparat,subst
aparatem,aparat,subst
aparatowego,aparatowy,adj
aparatu,aparat,subst
aparatura,aparatura,subst
aparatury,aparatura,subst
aparaturze,aparatura,subst
aparaturą,aparatura,subst
aparaturę,aparatura,subst
aparaty,aparat,subst
aparatów,aparat,subst
apaszek,apaszka,subst
apelacja,apelacja,subst
apelacji,apelacja,subst
apelacją,apelacja,subst
apelację,apelacja,subst
apelacyjne,apelacyjny,adj
apelacyjnego,apelacyjny,adj
apelacyjnej,apelacyjny,adj
apelacyjnemu,apelacyjny,adj
apelacyjni,apelacyjny,adj
apelacyjny,apelacyjny,adj
apelacyjnych,apelacyjny,adj
apelacyjnym,apelacyjny,adj
apelacyjną,apelacyjny,adj
apele,apel,subst
apewnianie,apewnianie,ign
aplikacja,aplikacja,subst
aplikacji,aplikacja,subst
aplikacją,aplikacja,subst
aplikację,aplikacja,subst
aplikanci,aplikant,subst
aplikant,aplikant,subst
aplikanta,aplikant,subst
aplikantami,aplikant,subst
aplikantem,aplikant,subst
aplikantom,aplikant,subst
aplikantow,aplikantow,ign
aplikantowi,aplikant,subst
aplikantów,aplikant,subst
aport,aport,subst
aportem,aport,subst
aportu,aport,subst
aporty,aport,subst
apostille,apostille,ign
apostolską,apostolski,adj
apreturowanie,apreturować,ger
aprobat,aprobata,subst
aprobaty,aprobata,subst
aprobatą,aprobata,subst
aptece,apteka,subst
apteczne,apteczny,adj
aptecznego,apteczny,adj
aptecznej,apteczny,adj
apteczny,apteczny,adj
aptecznych,apteczny,adj
aptecznym,apteczny,adj
aptecznymi,apteczny,adj
aptek,apteka,subst
apteka,apteka,subst
aptekach,apteka,subst
aptekami,apteka,subst
aptekarska,aptekarski,adj
aptekarskich,aptekarski,adj
aptekarskiego,aptekarski,adj
aptekarskiej,aptekarski,adj
aptekarskim,aptekarski,adj
aptekarską,aptekarski,adj
aptekarz,aptekarz,subst
aptekarza,aptekarz,subst
aptekarzem,aptekarz,subst
aptekarzy,aptekarz,subst
apteki,apteka,subst
aptekom,apteka,subst
apteką,apteka,subst
aptekę,apteka,subst
ar,ar,subst
ara,ar,subst
arabskich,arabski,subst
arabskiego,arabski,subst
arabskiej,arabski,adj
arbiter,arbiter,subst
arbitra,arbiter,subst
arbitralnych,arbitralny,adj
arbitrażowe,arbitrażowy,adj
arbitrażowi,arbitraż,subst
arbitrażowy,arbitrażowy,adj
arbitrażowym,arbitrażowy,adj
arbitrażowymi,arbitrażowy,adj
arbitrażową,arbitrażowy,adj
arbitrażu,arbitraż,subst
arbitrem,arbiter,subst
arbitrom,arbiter,subst
arbitrowi,arbiter,subst
