word,freq
Chlorodifluoroetan,1
Chlorodifluorometan,1
Chlorodifluoropropan,1
Chlorofluoroetan,1
Chlorofluorometan,1
Chlorofluoropropan,1
Chloroheksafluoropropan,1
Chloroheptafluoropropan,1
Chloropentafluoroetan,1
Chloropentafluoropropan,1
Chlorotetrafluoroetan,1
Chlorotetrafluoropropan,1
Chlorotrifluoroetan,1
Chlorotrifluorometan,1
Chlorotrifluoropropan,1
Chmiel,1
Chodzież,2
Cholewki,1
Chopina,17
Chopinem,1
Chopinie,1
Choroba,1
Chorwacji,4
Chorych,555
Chorzy,2
Chorzów,3
Chorób,4
Chronione,1
Chronionej,1
Chrystusa,2
Chrzanowskie,1
Chrześcijan,7
Chrześcijanin,1
Chrześcijańska,7
Chrześcijański,5
Chrześcijańskiej,6
Chusteczki,2
Chwytanie,1
Chów,1
Chłodnice,2
Cichorium,1
Ciechanowie,1
Ciekłych,2
Cienka,1
Ciernych,3
Cieszyn,1
Cieszyńska,1
Ciągnienia,4
Ciągniki,4
Ciężar,5
Ciężkich,1
Ciężkie,1
Cl,4
Clarka,1
Clasical,1
Clavibacter,1
Clinton,1
Cliradon,1
Clostridium,1
Cmentarze,4
Co,23
Cofając,1
Cofnięcie,31
Cofnięty,2
College,1
Contagious,5
Control,2
Corocznie,2
Corynebacterium,1
Coturnix,1
Coxiella,1
Creutzfeldta,1
Critical,1
Cu,24
Cudzoziemca,19
Cudzoziemcem,2
Cudzoziemcom,2
Cudzoziemcowi,53
Cudzoziemcy,4
Cudzoziemców,23
Cudzoziemiec,53
Cukier,2
Cukrowe,1
Cukrowej,9
Cukrowych,8
Cukrowym,1
Cukrową,5
Cukru,3
Curie,10
Cuvée,1
Cyfrowe,1
Cygarniczki,2
Cyklinowanie,1
Cynk,11
Cypru,1
Cypryjskiej,10
Cypryjską,3
Cyrkularki,2
Cyrusowa,1
Cytaty,1
Cywilnego,1
Cywilnej,232
Cywilnych,1
Cywilnym,1
Cywilnymi,1
Cywilną,3
Cyzelowanie,1
Czarne,1
Czarter,1
Czarterującemu,2
Czarterujący,7
Czas,72
Czasem,7
Czasowe,5
Czasowego,1
Czasowej,3
Czasowy,1
Czasu,12
Czchów,1
Czechosłowackiej,1
Czechosłowacką,4
Czechowskiego,3
Czek,4
Czerwonego,4
Czerwonemu,1
Czerwony,1
Czerwonym,1
Czesanka,1
Czeskiej,11
Czeską,9
Czosnek,1
Cztery,1
Czy,18
Czyn,10
Czynami,1
Czynem,3
Czynne,5
Czynniki,3
Czynników,1
Czynności,207
Czynnościami,4
Czynność,15
Czynsz,12
Czyny,2
Czysta,2
Czyszczenie,12
Czytelny,1
Częstochowa,4
Częstochowie,4
Częstochowska,1
Częstotliwość,1
Części,9
Częściami,1
Częściowo,1
Częścią,5
Część,56
Członek,114
Członka,4
Członkami,33
Członkiem,21
Członkom,53
Członkostwa,9
Członkostwo,23
Członkowi,22
Członkowie,124
Członkowskich,28
Członkowskie,1
Członkowskiego,2
Członkowskimi,12
Członków,79
Człowiek,1
Człowieka,7
Człuchów,1
Cła,4
Cło,4
DACHOWA,1
DDT,1
DEKSTROMORAMID,1
DEM,1
DEPOZYTY,1
DET,1
DEZOMORFINA,1
DI,1
DIAMPROMID,1
DIECEZJE,3
DIETYLOTIAMBUTEN,1
DIFENOKSYLAT,1
DIFENOKSYNA,1
DIHYDROETORFINA,1
DIHYDROMORFINA,1
DIMEFEPTANOL,1
DIMENOKSADOL,1
DIMETYLOTIAMBUTEN,1
DIPIPANON,1
DIVINORUM,1
DK,1
DLA,3
DMA,1
DMHP,1
DMT,1
DNA,17
DNIA,1
DO,9
DOB,1
DOCHODOWEGO,1
DOCHODOWYM,1
DOCHODU,1
DOCHODÓW,1
DODATKOWE,3
DODATKOWY,1
DOET,1
DOKE,34
DOKUMENTY,3
DOKUMENTÓW,3
DOLNE,1
DOM,1
DOSTOSOWUJĄCE,1
DOTYCZY,1
DOTYCZĄCYCH,1
DROTEBANOL,1
DUPLIKATY,1
DUSZPASTERSTWA,1
DYMACZEWO,1
DYPLOMY,1
DYREKTYWIE,1
DYSCYPLINARNE,1
DZ,1
DZIAŁ,38
DZIAŁALNOŚCI,1
DZIAŁÓW,3
DZIAł,1
DZIECI,1
DZIESIĄTY,1
Dachy,1
Dający,7
Dalej,1
Dalekopisy,2
Dalsza,1
Dalsze,2
Dalszy,2
Damskie,93
Dane,219
Danii,7
Dany,1
Danych,20
Danymi,1
Darowizny,7
Data,22
Datą,3
Datę,5
Dawca,2
Dawcy,8
Dawek,1
Dawka,2
Dawki,2
Dc,2
Decyzja,136
Decyzje,117
Decyzji,38
Decyzjom,12
Decyzją,4
Decyzję,113
Deer,1
Deficyt,9
Definicje,1
Degradacja,1
Deklaracja,12
Deklaracje,9
Deklaracji,2
Deklarację,4
Deklarowan,1
Deklarowane,9
Dekstryny,1
Delegat,8
Delegata,14
Delegatami,1
Delegatem,5
Delegatowi,2
Delegatur,1
Delegaturami,2
Delegatury,5
Delegaturą,1
Delegaturę,13
Delegatów,4
Delegowanie,17
Delegowany,1
Demograficznej,3
Demokratycznej,4
Dendrologii,1
Departamencie,3
Departamentem,1
Departamentu,9
Depozycie,10
Depozyt,50
Depozytariusz,8
Depozytem,7
Depozytowi,8
Depozytu,29
Depozyty,2
Derzsy,2
Deskowanie,1
Detaliczne,1
Detektyw,11
Detektywem,1
Dhekelia,1
Diabazy,1
Diagnosta,13
Diagnostycznych,1
Diagnostów,57
Diagności,2
Dialogu,19
Diamentowy,4
Dibromodifluoroetan,1
Dibromodifluoropropan,1
Dibromofluoroetan,1
Dibromofluorometan,1
Dibromofluoropropan,1
Dibromopentafluoropropan,1
Dibromotetrafluoroetan,1
Dibromotetrafluoropropan,1
Dibromotrifluoroetan,1
Dibromotrifluoropropan,1
Dichlorodifluoroetan,1
Dichlorodifluorometan,1
Dichlorodifluoropropan,1
Dichlorofluoroetan,1
Dichlorofluorometan,1
Dichlorofluoropropan,1
Dichloroheksafluoropropan,1
Dichloropentafluoropropan,1
Dichlorotetrafluoroetan,1
Dichlorotetrafluoropropan,1
Dichlorotrifluoroetan,1
Dichlorotrifluoropropan,1
Diecezja,10
Dieease,1
Diesla,2
Dieta,4
Dla,204
Dni,9
Dnia,16
Dniami,1
Dniem,9
Dniestru,1
Do,3457
Dobowy,5
Dobową,2
Dobra,5
Dobrego,1
Dobrej,59
Dobrowolna,1
Dobrowolne,1
Dobrowolnej,1
Dobrowolnie,1
Dobrą,5
Dobór,1
Docelowe,1
Dochodami,27
Dochodem,11
Dochodu,3
Dochody,61
Dochodzenia,2
Dochodzenie,20
Dochodów,3
Dochód,16
Dodanie,1
Dodatek,76
Dodatkami,4
Dodatki,9
Dodatkowa,5
Dodatkowe,13
Dodatkowego,8
Dodatkowo,7
Dodatkowy,6
Dodatkowych,1
Dodatkowym,3
Dodatkową,4
Dodatku,1
Dodatnia,1
Dodatnie,1
Dodatnią,1
Dofinansowania,1
Dofinansowanie,3
Dog,1
Doha,2
Dokarmianie,2
Dokonana,2
Dokonane,4
Dokonanie,28
Dokonany,2
Dokonaną,1
Dokonując,8
Dokonujący,5
Dokonywanie,6
Dokończenie,2
Dokumencie,2
Dokument,37
Dokumentacja,21
Dokumentacje,1
Dokumentacji,1
Dokumentację,13
Dokumentami,1
Dokumentem,15
Dokumentowanie,2
Dokumentu,1
Dokumenty,77
Dokumentów,3
Dokładny,1
Dolargan,1
Dolna,2
Dolne,1
Dolnośląski,1
Dolnośląskie,1
Dolomity,1
Dom,21
Domem,1
Dominowo,1
Domki,4
Domniemania,1
Domniemanie,1
Domniemywa,13
Domy,11
Dopingiem,2
Dopingu,3
Dopisanie,5
Dopuszcz,1
Dopuszcza,47
Dopuszczalna,7
Dopuszczalne,19
Dopuszczalnego,1
Dopuszczalny,5
Dopuszczalnych,1
Dopuszczanie,1
Dopuszczenie,13
Dopuszczeniu,1
Dopuszczone,3
Dopuszczony,1
Dopuszczonych,4
Dopóki,2
Dopłat,1
Dopłata,10
Dopłatami,2
Dopłaty,62
Dopłatę,2
Dorabianie,4
Doradca,12
Doradcom,1
Doradcy,4
Doradczego,4
Doradczy,1
Doradców,47
Doradztwa,5
Doraźne,2
Dorn,17
Doroczną,1
Dorohusku,2
Doręcza,1
Doręczenia,2
Doręczenie,10
Doskonalenie,1
Dostarczanie,4
Dostarczenie,1
Dostawa,2
Dostawca,37
Dostawcom,1
Dostawcy,9
Dostawcą,1
Dostawy,2
Dostosowanie,1
Dostosowawczej,2
Dostęp,14
Dostępne,1
Dosłowną,1
Dotacja,20
Dotacjami,3
Dotacje,65
Dotacji,8
Dotację,8
Dotychczas,1
Dotychczasowa,2
Dotychczasowe,122
Dotychczasowemu,1
Dotychczasowi,2
Dotychczasowy,13
Dotyczy,39
Dourine,2
Dowodami,7
Dowodem,14
Dowodu,3
Dowody,16
Dowód,13
Dowódca,37
Dowódcami,1
Dowódcy,21
Dowódcą,1
Dowódcę,2
Dowództwa,7
Dozorem,1
Dozorowi,1
Dozoru,43
Dozwolone,1
Dozór,16
Dołączony,1
Doświadczalnego,1
Doświadczalnym,1
Doświadczenia,4
Doświadczeń,1
Dp,4
Dresy,2
Drewna,2
Drezyny,2
Drobiowego,5
Drobne,1
Droga,4
Drogami,2
Drogi,8
Drogom,1
Drogowego,28
Drogowym,10
Drogową,11
Druga,1
Drugi,6
Drugie,1
Drugiego,2
Drugiej,3
Drugim,1
Druk,3
Drzewnego,1
Drób,4
Dróg,42
Dubicze,1
Dublinie,4
Ducha,1
Duchowne,8
Duchowni,5
Duchowny,1
Duchownych,5
Dukielskie,1
Dunajec,1
Dunaju,2
Duplikat,1
Duszniki,1
Duszpasterstwo,1
Duża,1
Dużej,2
Dużą,1
Dwa,2
Dwaj,1
Dwie,1
Dworek,1
Dwufos,1
Dwutlenek,1
Dwóch,3
Dyplom,4
Dyplomy,2
Dyrekcja,1
Dyrekcji,17
Dyrekcją,1
Dyrektor,300
Dyrektora,120
Dyrektorem,20
Dyrektorom,1
Dyrektorowi,16
Dyrektorze,1
Dyrektorzy,35
Dyrektorów,4
Dyscyplina,2
Dyscyplinarna,19
Dyscyplinarne,1
Dyscyplinarnego,94
Dyscyplinarnej,33
Dyscyplinarnemu,7
Dyscyplinarny,65
Dyscyplinarnym,10
Dyscyplinarną,11
Dyskryminowanie,3
Dyskryminowaniem,1
Dysponenci,7
Dysponent,4
Dysponentem,12
Dyspozycja,4
Dyspozytor,2
Dystrybucja,2
Dystrybucji,1
Dystrybucyjnej,6
Dystrybucyjną,1
Dystrybutor,1
Dystrybutory,2
Dywany,13
Dywidendy,20
Dz,8884
Dziale,7
Dzianiny,1
Dział,357
Działają,1
Działająca,1
Działające,4
Działający,1
Działającym,1
Działalności,47
Działalnością,12
Działalność,109
Działania,14
Działaniach,1
Działaniami,3
Działanie,1
Działań,1
Działki,1
Działkowców,1
Działu,11
Działyńskich,1
Działów,1
Dzieci,4
Dzieciom,8
Dziecka,18
Dziecko,7
Dziecku,3
Dziedzictwa,2
Dziekan,2
Dziekani,2
Dzienna,1
Dziennik,22
Dziennika,9
Dziennikami,2
Dzienniki,4
Dziennikiem,2
Dzienniku,442
Dzienny,7
Dziennym,2
Dzierżawca,3
Dzierżawcom,1
Dzierżawcy,6
Dzierżoniów,1
Dziewiczych,4
Dzieła,1
Dzień,22
Dziko,1
Dziękując,1
DĄBROWA,1
Dąbie,1
Dąbrowa,2
Dąbrówka,4
Dąbrówno,1
Dążąc,1
Dębica,1
DŁUG,1
Dług,28
Długi,1
Długoletnie,2
Długosza,2
Długoterminowe,7
Długoterminowy,1
Długości,1
Długość,1
Dłużne,6
Dłużnik,9
Dłużnikami,2
Dłużnikiem,8
Dłużnikowi,1
Dźwigniki,4
EAN,1
EBI,2
ECHINOPSIS,1
ECU,100
EDULIS,1
EEC,1
EEG,3
EF,1
EFRG,14
EFRROW,28
EFTA,204
EGZAMIN,6
EGZAMINACYJNE,1
EGZAMINACYJNEJ,2
EGZAMINIE,1
EGZAMINOWANEJ,1
EHEC,1
EHV,2
EIEC,1
EINECS,1
EKD,4
EKGONINA,1
EKOLOGICZNEGO,1
EKSPLOATACYJNYCH,1
ELBLĄG,3
ELEMENTY,1
ELIXIR,1
ELO,1
EMAS,2
EN,5
ENTSO,1
EOK,1
EPEC,1
EPNdB,1
ES,1
ESP,1
ETEC,1
ETERNIT,1
ETOKSERYDYNA,1
ETONITAZEN,1
ETORFINA,1
ETRYPTAMINA,1
ETUC,2
ETY,1
ETYCYKLIDYNA,1
ETYLOMETYLOTIAMBU,1
EURES,10
EURO,157
EUROGENDFOR,2
EUROPEJSKIEJ,1
EUTC,3
EWANGELICKO,2
EWG,86
Ecológica,1
Edukacja,1
Edukacji,102
Edukacyjnej,2
Eegcou,1
Efektywności,2
Egz,1
Egzamin,41
Egzaminacyjna,15
Egzaminacyjnej,46
Egzaminacyjną,22
Egzaminator,7
Egzaminatorzy,1
Egzaminu,2
Egzaminy,2
Egzaminów,2
Egzekucja,29
Egzekucji,1
Egzekucję,8
Egzekutor,1
Eklezja,1
Ekoinfonet,4
Ekoinfonetem,1
Ekoinfonetu,3
Ekologiczne,1
Ekologiskt,2
Ekonomii,9
Ekonomiki,1
Ekrany,2
Ekspektatywa,1
Eksperci,4
Ekspercki,2
Eksperckiego,4
Ekspert,8
Ekspertem,2
Ekspertowi,2
Ekspertów,18
Eksperyment,2
Eksploatacja,7
Eksploatacji,19
Eksploatację,1
Eksploatujący,1
Eksport,6
Eksporter,3
Eksporterzy,2
Eksportowych,18
Ekstra,2
Ekstradycja,1
Ekwiwalent,14
Elbląg,5
Elektroniczna,2
Elektronicznego,12
Elektronicznej,21
Elektronicznym,1
Elementy,1
Elim,3
Elżbieta,2
Emaliowanie,1
Emaus,3
Emeryci,1
Emeryt,3
Emerytalnego,4
Emerytalno,3
Emerytalny,3
Emerytalnych,5
Emerytalnymi,12
Emerytem,1
Emerytom,1
Emerytowi,4
Emerytur,18
Emerytura,18
Emerytury,20
Emeryturę,6
Emisja,13
Emisje,1
Emisji,8
Emisję,1
Emitenci,2
Emitent,25
Emitentami,1
Emitentem,1
Emitentów,1
En,1
Energetycznej,8
Energetyki,133
Energia,1
Energii,6
Energię,2
English,1
Enteritidis,2
Enterococcus,1
Enterovirus,2
Enzootic,2
Epidemiologiczna,2
Episkopalnego,1
Episkopatu,3
Epizootic,1
Epizootii,2
Epizootiologiczną,1
Epizootyczna,1
Equine,8
Escherichia,1
Espoo,1
Estonia,2
Estonii,3
Estońskiej,9
Estońską,5
Etapy,1
Etatowym,1
Etaty,1
Eternitu,4
Etyczna,2
Etycznej,2
Etyczną,3
Etyki,2
Etykieta,2
Etykietki,1
Etykiety,6
Etykietę,1
Etylo,1
EudraGMDP,2
EudraVigilance,5
Eugeniusz,1
Eukodal,1
Euratom,2
Euro,74
Eurocode,2
European,2
Europejska,18
Europejski,11
